Subject,Start Date,Start Time,End Date,End Time,Description
"*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №8","04/11/2025","09:30 AM","04/11/2025","11:05 AM","*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №1","04/11/2025","11:15 AM","04/11/2025","12:50 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №15","04/12/2025","02:55 PM","04/12/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №16","04/12/2025","04:40 PM","04/12/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ОС Пз DL ПЗПІ-23-3; №4","04/14/2025","01:10 PM","04/14/2025","02:45 PM","ОС Пз DL ПЗПІ-23-3"
"Філ Пз DL ПЗПІ-23-3; №4","04/14/2025","11:15 AM","04/14/2025","12:50 PM","Філ Пз DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №15","04/15/2025","01:10 PM","04/15/2025","02:45 PM","ІМ Пз DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №16","04/15/2025","11:15 AM","04/15/2025","12:50 PM","ІМ Пз DL ПЗПІ-23-3"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-3; №3","04/16/2025","07:45 AM","04/16/2025","09:20 AM","*ВІА Пз DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Пз DL *ВІА(ПЗПІ-23-)-3; №4","04/16/2025","09:30 AM","04/16/2025","11:05 AM","*ВІА Пз DL *ВІА(ПЗПІ-23-)-3"
"ФВ Пз DL ПЗПІ-23-3; №9","04/17/2025","01:10 PM","04/17/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-3"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №14","04/17/2025","02:55 PM","04/17/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №15","04/17/2025","04:40 PM","04/17/2025","06:15 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №9","04/17/2025","11:15 AM","04/17/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; №2","04/18/2025","01:10 PM","04/18/2025","02:45 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №9","04/18/2025","07:45 AM","04/18/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №9","04/18/2025","09:30 AM","04/18/2025","11:05 AM","*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; №2","04/18/2025","11:15 AM","04/18/2025","12:50 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №17","04/19/2025","02:55 PM","04/19/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №18","04/19/2025","04:40 PM","04/19/2025","06:15 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"ОС Лб DL ПЗПІ-23-3; №4","04/21/2025","07:45 AM","04/21/2025","09:20 AM","ОС Лб DL ПЗПІ-23-3"
"ОС Лб DL ПЗПІ-23-3; №4","04/21/2025","09:30 AM","04/21/2025","11:05 AM","ОС Лб DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №17","04/22/2025","01:10 PM","04/22/2025","02:45 PM","ІМ Пз DL ПЗПІ-23-3"
"ОПJа Пз DL ПЗПІ-23-3; №3","04/22/2025","02:55 PM","04/22/2025","04:30 PM","ОПJа Пз DL ПЗПІ-23-3"
"ОПJа Пз DL ПЗПІ-23-3; №4","04/22/2025","04:40 PM","04/22/2025","06:15 PM","ОПJа Пз DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №18","04/22/2025","11:15 AM","04/22/2025","12:50 PM","ІМ Пз DL ПЗПІ-23-3"
"ФВ Пз DL ПЗПІ-23-3; №10","04/24/2025","01:10 PM","04/24/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-3"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №16","04/24/2025","02:55 PM","04/24/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №9","04/24/2025","04:40 PM","04/24/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №10","04/24/2025","11:15 AM","04/24/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"*ОDS Пз DL *ОDS(ПЗПІ-23-)-1; №2","04/25/2025","01:10 PM","04/25/2025","02:45 PM","*ОDS Пз DL *ОDS(ПЗПІ-23-)-1"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №10","04/25/2025","07:45 AM","04/25/2025","09:20 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №10","04/25/2025","09:30 AM","04/25/2025","11:05 AM","*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; *ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ОDS Пз DL *ОDS(ПЗПІ-23-)-1; №3","04/25/2025","11:15 AM","04/25/2025","12:50 PM","*ОDS Пз DL *ОDS(ПЗПІ-23-)-1"
"СмП Лб DL ПЗПІ-23-3; №3","04/26/2025","01:10 PM","04/26/2025","02:45 PM","СмП Лб DL ПЗПІ-23-3"
"*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1; №19","04/26/2025","02:55 PM","04/26/2025","04:30 PM","*ДРСД Лк DL *ДРСД(ПЗПІ-23-)-1"
"СмП Лб DL ПЗПІ-23-3; №3","04/26/2025","11:15 AM","04/26/2025","12:50 PM","СмП Лб DL ПЗПІ-23-3"
"ОС Пз DL ПЗПІ-23-3; №5","04/28/2025","01:10 PM","04/28/2025","02:45 PM","ОС Пз DL ПЗПІ-23-3"
"Філ Пз DL ПЗПІ-23-3; №5","04/28/2025","11:15 AM","04/28/2025","12:50 PM","Філ Пз DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №19","04/29/2025","01:10 PM","04/29/2025","02:45 PM","ІМ Пз DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №20","04/29/2025","11:15 AM","04/29/2025","12:50 PM","ІМ Пз DL ПЗПІ-23-3"
"ПрПА Лб DL ПЗПІ-23-3; №2","04/30/2025","07:45 AM","04/30/2025","09:20 AM","ПрПА Лб DL ПЗПІ-23-3"
"ПрПА Лб DL ПЗПІ-23-3; №2","04/30/2025","09:30 AM","04/30/2025","11:05 AM","ПрПА Лб DL ПЗПІ-23-3"
"ФВ Пз DL ПЗПІ-23-3; №11","05/01/2025","01:10 PM","05/01/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-3"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №17","05/01/2025","02:55 PM","05/01/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №10","05/01/2025","04:40 PM","05/01/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №11","05/01/2025","11:15 AM","05/01/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №3","05/02/2025","01:10 PM","05/02/2025","02:45 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №11","05/02/2025","09:30 AM","05/02/2025","11:05 AM","*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №3","05/02/2025","11:15 AM","05/02/2025","12:50 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"*ДРСД Пз DL *ДРСД(ПЗПІ-23-)-1; №2","05/03/2025","02:55 PM","05/03/2025","04:30 PM","*ДРСД Пз DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Пз DL *ДРСД(ПЗПІ-23-)-1; №3","05/03/2025","04:40 PM","05/03/2025","06:15 PM","*ДРСД Пз DL *ДРСД(ПЗПІ-23-)-1"
"ОС Лб DL ПЗПІ-23-3; №5","05/05/2025","07:45 AM","05/05/2025","09:20 AM","ОС Лб DL ПЗПІ-23-3"
"ОС Лб DL ПЗПІ-23-3; №5","05/05/2025","09:30 AM","05/05/2025","11:05 AM","ОС Лб DL ПЗПІ-23-3"
"ОПJа Лб DL ПЗПІ-23-3; №3","05/06/2025","02:55 PM","05/06/2025","04:30 PM","ОПJа Лб DL ПЗПІ-23-3"
"ОПJа Лб DL ПЗПІ-23-3; №3","05/06/2025","04:40 PM","05/06/2025","06:15 PM","ОПJа Лб DL ПЗПІ-23-3"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №3","05/07/2025","07:45 AM","05/07/2025","09:20 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №3","05/07/2025","09:30 AM","05/07/2025","11:05 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"ФВ Пз DL ПЗПІ-23-3; №12","05/08/2025","01:10 PM","05/08/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-3"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №18","05/08/2025","02:55 PM","05/08/2025","04:30 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №11","05/08/2025","04:40 PM","05/08/2025","06:15 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"Філ Лк DL ПЗПІ-23-1,2,3,4,5; №12","05/08/2025","11:15 AM","05/08/2025","12:50 PM","Філ Лк DL ПЗПІ-23-1,2,3,4,5"
"*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №11","05/09/2025","09:30 AM","05/09/2025","11:05 AM","*МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2; №1","05/09/2025","11:15 AM","05/09/2025","12:50 PM","*ОDS Лк DL *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2"
"*ДРСД Лб DL *ДРСД(ПЗПІ-23-)-1; №1","05/10/2025","02:55 PM","05/10/2025","04:30 PM","*ДРСД Лб DL *ДРСД(ПЗПІ-23-)-1"
"*ДРСД Лб DL *ДРСД(ПЗПІ-23-)-1; №1","05/10/2025","04:40 PM","05/10/2025","06:15 PM","*ДРСД Лб DL *ДРСД(ПЗПІ-23-)-1"
"ОС Пз DL ПЗПІ-23-3; №6","05/12/2025","01:10 PM","05/12/2025","02:45 PM","ОС Пз DL ПЗПІ-23-3"
"Філ Пз DL ПЗПІ-23-3; №6","05/12/2025","11:15 AM","05/12/2025","12:50 PM","Філ Пз DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №21","05/13/2025","01:10 PM","05/13/2025","02:45 PM","ІМ Пз DL ПЗПІ-23-3"
"ПрПА Лб DL ПЗПІ-23-3; №3","05/14/2025","07:45 AM","05/14/2025","09:20 AM","ПрПА Лб DL ПЗПІ-23-3"
"ПрПА Лб DL ПЗПІ-23-3; №3","05/14/2025","09:30 AM","05/14/2025","11:05 AM","ПрПА Лб DL ПЗПІ-23-3"
"ФВ Пз DL ПЗПІ-23-3; №13","05/15/2025","01:10 PM","05/15/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-3"
"СмП Лб DL ПЗПІ-23-3; №4","05/17/2025","01:10 PM","05/17/2025","02:45 PM","СмП Лб DL ПЗПІ-23-3"
"СмП Лб DL ПЗПІ-23-3; №4","05/17/2025","11:15 AM","05/17/2025","12:50 PM","СмП Лб DL ПЗПІ-23-3"
"ОС Лб DL ПЗПІ-23-3; №6","05/19/2025","07:45 AM","05/19/2025","09:20 AM","ОС Лб DL ПЗПІ-23-3"
"ОС Лб DL ПЗПІ-23-3; №6","05/19/2025","09:30 AM","05/19/2025","11:05 AM","ОС Лб DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №22","05/20/2025","01:10 PM","05/20/2025","02:45 PM","ІМ Пз DL ПЗПІ-23-3"
"ОПJа Лб DL ПЗПІ-23-3; №4","05/20/2025","02:55 PM","05/20/2025","04:30 PM","ОПJа Лб DL ПЗПІ-23-3"
"ОПJа Лб DL ПЗПІ-23-3; №4","05/20/2025","04:40 PM","05/20/2025","06:15 PM","ОПJа Лб DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №23","05/20/2025","11:15 AM","05/20/2025","12:50 PM","ІМ Пз DL ПЗПІ-23-3"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №4","05/21/2025","07:45 AM","05/21/2025","09:20 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №4","05/21/2025","09:30 AM","05/21/2025","11:05 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"ФВ Пз DL ПЗПІ-23-3; №14","05/22/2025","01:10 PM","05/22/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-3"
"ОПJа Лк DL ПЗПІ-23-1,2,3,4,5; №12","05/22/2025","02:55 PM","05/22/2025","04:30 PM","ОПJа Лк DL ПЗПІ-23-1,2,3,4,5"
"ОС Лк DL ПЗПІ-23-1,2,3,4,5; №19","05/22/2025","04:40 PM","05/22/2025","06:15 PM","ОС Лк DL ПЗПІ-23-1,2,3,4,5"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №4","05/23/2025","01:10 PM","05/23/2025","02:45 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"*МСП Пз DL *МСП(ПЗПІ-23-)-1; №3","05/23/2025","09:30 AM","05/23/2025","11:05 AM","*МСП Пз DL *МСП(ПЗПІ-23-)-1"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №4","05/23/2025","11:15 AM","05/23/2025","12:50 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"ОС Лб DL ПЗПІ-23-3; №7","05/26/2025","07:45 AM","05/26/2025","09:20 AM","ОС Лб DL ПЗПІ-23-3"
"ОС Лб DL ПЗПІ-23-3; №7","05/26/2025","09:30 AM","05/26/2025","11:05 AM","ОС Лб DL ПЗПІ-23-3"
"Філ Пз DL ПЗПІ-23-3; №7","05/26/2025","11:15 AM","05/26/2025","12:50 PM","Філ Пз DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №24","05/27/2025","01:10 PM","05/27/2025","02:45 PM","ІМ Пз DL ПЗПІ-23-3"
"ІМ Пз DL ПЗПІ-23-3; №25","05/27/2025","11:15 AM","05/27/2025","12:50 PM","ІМ Пз DL ПЗПІ-23-3"
"ПрПА Лб DL ПЗПІ-23-3; №4","05/28/2025","07:45 AM","05/28/2025","09:20 AM","ПрПА Лб DL ПЗПІ-23-3"
"ПрПА Лб DL ПЗПІ-23-3; №4","05/28/2025","09:30 AM","05/28/2025","11:05 AM","ПрПА Лб DL ПЗПІ-23-3"
"ФВ Пз DL ПЗПІ-23-3; №15","05/29/2025","01:10 PM","05/29/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-3"
"ОС Лб DL ПЗПІ-23-3; №8","06/02/2025","07:45 AM","06/02/2025","09:20 AM","ОС Лб DL ПЗПІ-23-3"
"ОС Лб DL ПЗПІ-23-3; №8","06/02/2025","09:30 AM","06/02/2025","11:05 AM","ОС Лб DL ПЗПІ-23-3"
"Філ Пз DL ПЗПІ-23-3; №8","06/02/2025","11:15 AM","06/02/2025","12:50 PM","Філ Пз DL ПЗПІ-23-3"
"ОПJа Лб DL ПЗПІ-23-3; №5","06/03/2025","02:55 PM","06/03/2025","04:30 PM","ОПJа Лб DL ПЗПІ-23-3"
"ОПJа Лб DL ПЗПІ-23-3; №5","06/03/2025","04:40 PM","06/03/2025","06:15 PM","ОПJа Лб DL ПЗПІ-23-3"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №5","06/04/2025","07:45 AM","06/04/2025","09:20 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"*ВІА Лб DL *ВІА(ПЗПІ-23-)-3; №5","06/04/2025","09:30 AM","06/04/2025","11:05 AM","*ВІА Лб DL *ВІА(ПЗПІ-23-)-3"
"ФВ Пз DL ПЗПІ-23-3; №16","06/05/2025","01:10 PM","06/05/2025","02:45 PM","ФВ Пз DL ПЗПІ-23-3"
"ФВ Пз DL ПЗПІ-23-3; №17","06/05/2025","11:15 AM","06/05/2025","12:50 PM","ФВ Пз DL ПЗПІ-23-3"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №5","06/06/2025","01:10 PM","06/06/2025","02:45 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1; №5","06/06/2025","11:15 AM","06/06/2025","12:50 PM","*МСП Лб DL *МСП(ПЗПІ-23-)-1; *ОDS Лб DL *ОDS(ПЗПІ-23-)-1"
"Філ Конс DL ПЗПІ-23-3","06/09/2025","01:10 PM","06/09/2025","02:45 PM","Філ Конс DL ПЗПІ-23-3"
"ОС Конс DL ПЗПІ-23-3","06/09/2025","02:55 PM","06/09/2025","04:30 PM","ОС Конс DL ПЗПІ-23-3"
"СмП Зал DL ПЗПІ-23-3","06/09/2025","11:15 AM","06/09/2025","12:50 PM","СмП Зал DL ПЗПІ-23-3"
"Філ Екз DL ПЗПІ-23-3","06/11/2025","07:45 AM","06/11/2025","09:20 AM","Філ Екз DL ПЗПІ-23-3"
"Філ Екз DL ПЗПІ-23-3","06/11/2025","09:30 AM","06/11/2025","11:05 AM","Філ Екз DL ПЗПІ-23-3"
"Філ Екз DL ПЗПІ-23-3","06/11/2025","11:15 AM","06/11/2025","12:50 PM","Філ Екз DL ПЗПІ-23-3"
"*ВІА Зал DL *ВІА(ПЗПІ-23-)-3","06/12/2025","07:45 AM","06/12/2025","09:20 AM","*ВІА Зал DL *ВІА(ПЗПІ-23-)-3"
"ОС Екз DL ПЗПІ-23-3","06/13/2025","01:10 PM","06/13/2025","02:45 PM","ОС Екз DL ПЗПІ-23-3"
"ОС Екз DL ПЗПІ-23-3","06/13/2025","02:55 PM","06/13/2025","04:30 PM","ОС Екз DL ПЗПІ-23-3"
"ОС Екз DL ПЗПІ-23-3","06/13/2025","04:40 PM","06/13/2025","06:15 PM","ОС Екз DL ПЗПІ-23-3"
"ОПJа Зал DL ПЗПІ-23-3","06/16/2025","01:10 PM","06/16/2025","02:45 PM","ОПJа Зал DL ПЗПІ-23-3"
"ПрПА Конс DL ПЗПІ-23-3","06/16/2025","02:55 PM","06/16/2025","04:30 PM","ПрПА Конс DL ПЗПІ-23-3"
"ПрПА Екз DL ПЗПІ-23-3","06/18/2025","07:45 AM","06/18/2025","09:20 AM","ПрПА Екз DL ПЗПІ-23-3"
"ПрПА Екз DL ПЗПІ-23-3","06/18/2025","09:30 AM","06/18/2025","11:05 AM","ПрПА Екз DL ПЗПІ-23-3"
"ПрПА Екз DL ПЗПІ-23-3","06/18/2025","11:15 AM","06/18/2025","12:50 PM","ПрПА Екз DL ПЗПІ-23-3"
"*МСП Зал DL *МСП(ПЗПІ-23-)-1","06/19/2025","01:10 PM","06/19/2025","02:45 PM","*МСП Зал DL *МСП(ПЗПІ-23-)-1"
"*ОDS Зал DL *ОDS(ПЗПІ-23-)-1","06/20/2025","09:30 AM","06/20/2025","11:05 AM","*ОDS Зал DL *ОDS(ПЗПІ-23-)-1"
"*ДРСД Зал DL *ДРСД(ПЗПІ-23-)-1","06/21/2025","11:15 AM","06/21/2025","12:50 PM","*ДРСД Зал DL *ДРСД(ПЗПІ-23-)-1"
"ФВ Зал DL ПЗПІ-23-3","06/23/2025","01:10 PM","06/23/2025","02:45 PM","ФВ Зал DL ПЗПІ-23-3"
"ІМ Конс DL ПЗПІ-23-3","06/23/2025","11:15 AM","06/23/2025","12:50 PM","ІМ Конс DL ПЗПІ-23-3"
"ІМ Екз DL ПЗПІ-23-3","06/24/2025","07:45 AM","06/24/2025","09:20 AM","ІМ Екз DL ПЗПІ-23-3"
"ІМ Екз DL ПЗПІ-23-3","06/24/2025","09:30 AM","06/24/2025","11:05 AM","ІМ Екз DL ПЗПІ-23-3"
"ІМ Екз DL ПЗПІ-23-3","06/24/2025","11:15 AM","06/24/2025","12:50 PM","ІМ Екз DL ПЗПІ-23-3"
